"filename", "language", "C++", "YAML", "Swift", "JSON", "Dart", "HTML", "Markdown", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\pubspec.yaml", "YAML", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 51, 16, 111
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\web\index.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 16, 6, 60
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\flutter\generated_plugin_registrant.cc", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 551, 46, 62, 250, 3810, 38, 20, 466, 8, 94, 342, 569, 6256
